# Copyright 2018 Google Inc. All Rights Reserved.
#
# This work is licensed under a Creative Commons Attribution 4.0
# International License. [https://creativecommons.org/licenses/by/4.0/]
# =============================================================================
#
# This is a pronunciation dictionary.
#
# The three tab-separated columns are as follows:
#
#   1. Spelling
#   2. Phonemic transcription
#   3. Optional disambiguating label
#

अ	ah
आ	aa
इ	i
ई	ii
उ	u
ऊ	oo
ए	e
ऐ	ai
ओ	o
औ	au
ऋ	ri
अं	an
अः	aah
क	ka
ख	kha
ग	ga
घ	gha
ङ	nga
च	cha
छ	chha
ज	ja
झ	jha
ञ	ya
ट	Ta
ठ	Tha
ड	Da
ढ	Dha
ण 	ahDa
त	ta
थ	tha
द	da
ध	dha
न	na
प	pa
फ	pha
ब	ba
भ	bha
म	ma
य	ya
र	ra
ल	la
व	wa
श	sha
ष	Sa
स	sa
ह	ha
क्ष	chhya
त्र	trah
ज्ञ	gyah


 
